CustomerNo,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
12004.0,228,56,1509.6,1,3,1,131,5,Churned
12006.0,219,1,24.76,1,1,1,111,3,Churned
12008.0,277,203,5689.57,1,4,3,143,8,Potential
12013.0,360,1,69.96000000000001,1,1,1,111,3,Churned
12024.0,177,5,149.51999999999998,1,1,1,111,3,Churned
12025.0,288,46,1021.59,1,2,1,121,4,Churned
12026.0,340,409,20486.32,1,4,4,144,9,Potential
12031.0,71,7,136.18,2,1,1,211,4,Churned
12042.0,265,223,6296.7699999999995,1,4,3,143,8,Potential
12043.0,158,36,1235.59,1,2,1,121,4,Churned
12050.0,149,10,141.67000000000002,2,1,1,211,4,Churned
12057.0,32,133,4816.81,3,4,2,342,9,Potential
12060.0,366,1,36.75,1,1,1,111,3,Churned
12063.0,218,3,39.33,1,1,1,111,3,Churned
12067.0,18,485,14293.33,4,4,4,444,12,Loyal
12071.0,366,649,23215.26,1,4,4,144,9,Potential
12078.0,285,125,2667.2599999999998,1,3,2,132,6,At Risk
12080.0,185,93,14378.82,1,3,4,134,8,Potential
12081.0,359,1,13.27,1,1,1,111,3,Churned
12082.0,298,2,32.89,1,1,1,111,3,Churned
12087.0,185,39,857.34,1,2,1,121,4,Churned
12089.0,265,8,1179.53,1,1,1,111,3,Churned
12090.0,185,22,736.23,1,2,1,121,4,Churned
12093.0,185,57,1986.98,1,3,2,132,6,At Risk
12100.0,248,85,10683.71,1,3,3,133,7,At Risk
12115.0,9,712,14211.470000000001,4,4,4,444,12,Loyal
12116.0,166,72,2076.5099999999998,1,3,2,132,6,At Risk
12120.0,166,17,454.16,1,1,1,111,3,Churned
12128.0,330,19,472.13,1,1,1,111,3,Churned
12130.0,32,4,63.56,3,1,1,311,5,Churned
12134.0,78,256,7825.83,2,4,3,243,9,Potential
12151.0,176,16,215.29,1,1,1,111,3,Churned
12154.0,339,286,9185.1,1,4,3,143,8,Potential
12160.0,120,1,51.2,2,1,1,211,4,Churned
12161.0,157,4,48.53,1,1,1,111,3,Churned
12165.0,256,43,1283.18,1,2,1,121,4,Churned
12167.0,256,47,1457.46,1,2,1,121,4,Churned
12171.0,309,60,1921.96,1,3,2,132,6,At Risk
12174.0,43,9,111.75,3,1,1,311,5,Churned
12185.0,50,60,8369.02,3,3,3,333,9,Potential
12202.0,71,248,6810.79,2,4,3,243,9,Potential
12204.0,239,25,544.48,1,2,1,121,4,Churned
12205.0,239,51,1016.4,1,3,1,131,5,Churned
12214.0,296,112,10198.44,1,3,3,133,7,At Risk
12221.0,108,277,16948.03,2,4,4,244,10,Loyal
12230.0,108,86,16299.9,2,3,4,234,9,Potential
12231.0,176,58,5513.19,1,3,3,133,7,At Risk
12236.0,166,1,65.52,1,1,1,111,3,Churned
12237.0,369,596,22960.43,1,4,4,144,9,Potential
12240.0,166,145,3682.15,1,4,2,142,7,At Risk
12242.0,166,10,499.9,1,1,1,111,3,Churned
12245.0,146,82,2829.37,2,3,2,232,7,At Risk
12251.0,369,20,1280.78,1,2,1,121,4,Churned
12252.0,369,1,344.71999999999997,1,1,1,111,3,Churned
12253.0,369,24,2184.44,1,2,2,122,5,Churned
12255.0,318,196,5592.11,1,4,3,143,8,Potential
12256.0,2,63,6606.820000000001,4,3,3,433,10,Loyal
12278.0,239,75,8417.1,1,3,3,133,7,At Risk
12286.0,99,47,1567.91,2,2,1,221,5,Churned
12290.0,145,31,642.38,2,2,1,221,5,Churned
12293.0,201,58,1332.27,1,3,1,131,5,Churned
12309.0,37,1,12.86,3,1,1,311,5,Churned
12321.0,191,22,561.99,1,2,1,121,4,Churned
12324.0,173,236,6207.42,1,4,3,143,8,Potential
12325.0,227,2,104.32,1,1,1,111,3,Churned
12336.0,191,33,638.92,1,2,1,121,4,Churned
12338.0,215,23,825.42,1,2,1,121,4,Churned
12340.0,227,130,4866.7699999999995,1,3,3,133,7,At Risk
12346.0,326,1,840113.8,1,1,4,114,6,At Risk
12347.0,3,787,38321.9,4,4,4,444,12,Loyal
12348.0,76,27,25377.36,2,2,4,224,8,Potential
12349.0,19,72,7951.1,4,3,3,433,10,Loyal
12350.0,128,17,2371.9,2,1,2,212,5,Churned
12352.0,37,77,6811.92,3,3,3,333,9,Potential
12353.0,205,4,296.24,1,1,1,111,3,Churned
12354.0,233,58,6356.94,1,3,3,133,7,At Risk
12355.0,215,13,2930.62,1,1,2,112,4,Churned
12356.0,23,111,20298.05,3,3,4,334,10,Loyal
12357.0,34,130,33893.72,3,3,4,334,10,Loyal
12358.0,2,575,23772.82,4,4,4,444,12,Loyal
12359.0,58,248,24503.01,2,4,4,244,10,Loyal
12360.0,53,126,13959.64,3,3,4,334,10,Loyal
12361.0,288,9,922.62,1,1,1,111,3,Churned
12362.0,4,254,24367.78,4,4,4,444,12,Loyal
12363.0,110,23,4747.08,2,2,2,222,6,At Risk
12364.0,8,109,15842.75,4,3,4,434,11,Loyal
12365.0,292,21,2101.83,1,2,2,122,5,Churned
12367.0,5,11,1268.6000000000001,4,1,1,411,6,At Risk
12370.0,52,166,27599.42,3,4,4,344,11,Loyal
12371.0,60,62,7411.53,2,3,3,233,8,Potential
12372.0,72,49,9302.48,2,2,3,223,7,At Risk
12373.0,255,228,7980.55,1,4,3,143,8,Potential
12374.0,26,32,4112.9,3,2,2,322,7,At Risk
12375.0,11,15,1385.9,4,1,1,411,6,At Risk
12377.0,316,76,11241.34,1,3,3,133,7,At Risk
12378.0,130,219,29410.6,2,4,4,244,10,Loyal
12379.0,82,38,4315.0599999999995,2,2,2,222,6,At Risk
12380.0,22,100,12159.37,3,3,4,334,10,Loyal
12381.0,5,82,9136.37,4,3,3,433,10,Loyal
12383.0,185,94,17227.829999999998,1,3,4,134,8,Potential
12384.0,29,24,1575.27,3,2,1,321,6,At Risk
12386.0,338,10,4040.2999999999997,1,1,2,112,4,Churned
12387.0,208,155,5326.62,1,4,3,143,8,Potential
12388.0,16,100,16632.03,4,3,4,434,11,Loyal
12390.0,80,31,4104.7,2,2,2,222,6,At Risk
12391.0,22,100,3535.27,3,3,2,332,8,Potential
12393.0,73,66,8314.75,2,3,3,233,8,Potential
12394.0,64,25,9390.52,2,2,3,223,7,At Risk
12395.0,20,144,24180.37,3,4,4,344,11,Loyal
12396.0,263,78,6765.1,1,3,3,133,7,At Risk
12397.0,36,174,15955.51,3,4,4,344,11,Loyal
12398.0,46,84,15525.12,3,3,4,334,10,Loyal
12399.0,120,55,12422.4,2,3,4,234,9,Potential
12401.0,304,3,124.47,1,1,1,111,3,Churned
12402.0,324,10,837.5,1,1,1,111,3,Churned
12403.0,50,4,1364.64,3,1,1,311,5,Churned
12405.0,149,53,10126.52,2,3,3,233,8,Potential
12406.0,23,105,21277.63,3,3,4,334,10,Loyal
12407.0,50,72,15924.92,3,3,4,334,10,Loyal
12408.0,33,101,16083.97,3,3,4,334,10,Loyal
12409.0,79,109,66730.26,2,3,4,234,9,Potential
12410.0,309,25,2668.2999999999997,1,2,2,122,5,Churned
12411.0,262,2,55.24,1,1,1,111,3,Churned
12412.0,75,58,9420.63,2,3,3,233,8,Potential
12413.0,67,36,3307.89,2,2,2,222,6,At Risk
12414.0,67,103,18177.6,2,3,4,234,9,Potential
12415.0,25,715,900545.54,3,4,4,344,11,Loyal
12417.0,4,183,17859.88,4,4,4,444,12,Loyal
12418.0,113,34,4856.91,2,2,3,223,7,At Risk
12420.0,64,29,4151.1,2,2,2,222,6,At Risk
12421.0,16,41,5091.65,4,2,3,423,9,Potential
12422.0,96,415,14936.449999999999,2,4,4,244,10,Loyal
12423.0,1,149,14766.41,4,4,4,444,12,Loyal
12424.0,163,30,9389.81,1,2,3,123,6,At Risk
12425.0,79,36,5638.98,2,2,3,223,7,At Risk
12426.0,195,29,3126.61,1,2,2,122,5,Churned
12427.0,22,28,6109.77,3,2,3,323,8,Potential
12428.0,26,327,41864.41,3,4,4,344,11,Loyal
12429.0,10,94,16106.1,4,3,4,434,11,Loyal
12430.0,44,10,1410.68,3,1,1,311,5,Churned
12431.0,36,233,35118.12,3,4,4,344,11,Loyal
12432.0,36,111,22880.21,3,3,4,334,10,Loyal
12433.0,1,419,115454.49,4,4,4,444,12,Loyal
12434.0,85,50,4864.51,2,2,3,223,7,At Risk
12435.0,80,36,27757.97,2,2,4,224,8,Potential
12436.0,100,15,2581.38,2,1,2,212,5,Churned
12437.0,2,184,33137.62,4,4,4,444,12,Loyal
12438.0,15,96,10591.5,4,3,3,433,10,Loyal
12441.0,367,10,1389.3,1,1,1,111,3,Churned
12442.0,4,11,1297.84,4,1,1,411,6,At Risk
12444.0,22,175,15868.42,3,4,4,344,11,Loyal
12445.0,23,3,694.3199999999999,3,1,1,311,5,Churned
12446.0,58,57,4259.83,2,3,2,232,7,At Risk
12447.0,244,25,2236.38,1,2,2,122,5,Churned
12448.0,45,21,2834.36,3,2,2,322,7,At Risk
12449.0,23,187,18993.77,3,4,4,344,11,Loyal
12450.0,157,8,1216.1399999999999,1,1,1,111,3,Churned
12451.0,11,401,74247.09,4,4,4,444,12,Loyal
12452.0,17,20,1115.05,4,2,1,421,7,At Risk
12453.0,135,43,5572.6,2,2,3,223,7,At Risk
12454.0,57,15,13925.84,2,1,4,214,7,At Risk
12455.0,74,85,23270.8,2,3,4,234,9,Potential
12456.0,45,122,19229.12,3,3,4,334,10,Loyal
12457.0,67,67,9444.71,2,3,3,233,8,Potential
12458.0,72,367,14297.16,2,4,4,244,10,Loyal
12461.0,155,34,3532.59,2,2,2,222,6,At Risk
12462.0,19,60,6362.73,4,3,3,433,10,Loyal
12463.0,11,81,8933.32,4,3,3,433,10,Loyal
12464.0,11,22,1657.98,4,2,1,421,7,At Risk
12465.0,18,45,5567.22,4,2,3,423,9,Potential
12468.0,188,369,16010.859999999999,1,4,4,144,9,Potential
12469.0,292,4,615.22,1,1,1,111,3,Churned
12471.0,3,439,91010.72,4,4,4,444,12,Loyal
12472.0,33,332,47779.49,3,4,4,344,11,Loyal
12473.0,54,161,26705.23,3,4,4,344,11,Loyal
12474.0,18,415,55889.61,4,4,4,444,12,Loyal
12475.0,54,35,6077.06,3,2,3,323,8,Potential
12476.0,16,224,26116.98,4,4,4,444,12,Loyal
12477.0,23,300,50865.6,3,4,4,344,11,Loyal
12478.0,4,35,1547.87,4,2,1,421,7,At Risk
12479.0,12,36,2706.55,4,2,2,422,8,Potential
12480.0,29,150,20048.2,3,4,4,344,11,Loyal
12481.0,23,260,38509.409999999996,3,4,4,344,11,Loyal
12483.0,18,68,12931.64,4,3,4,434,11,Loyal
12484.0,36,342,25571.48,3,4,4,344,11,Loyal
12485.0,356,1,30.7,1,1,1,111,3,Churned
12488.0,10,54,5085.36,4,3,3,433,10,Loyal
12489.0,337,14,1361.97,1,1,1,111,3,Churned
12490.0,6,235,30866.64,4,4,4,444,12,Loyal
12491.0,39,70,4623.28,3,3,2,332,8,Potential
12492.0,64,18,2042.1,2,1,2,212,5,Churned
12493.0,166,20,1759.1699999999998,1,2,1,121,4,Churned
12494.0,16,71,7273.18,4,3,3,433,10,Loyal
12497.0,82,13,13594.44,2,1,4,214,7,At Risk
12498.0,22,21,1658.67,3,2,1,321,6,At Risk
12500.0,24,51,31366.809999999998,3,3,4,334,10,Loyal
12501.0,337,147,20100.06,1,4,4,144,9,Potential
12502.0,96,142,11027.11,2,4,3,243,9,Potential
12504.0,19,8,1330.34,4,1,1,411,6,At Risk
12505.0,254,73,1833.6399999999999,1,3,1,131,5,Churned
12506.0,233,23,311.08,1,2,1,121,4,Churned
12507.0,135,20,10264.7,2,2,3,223,7,At Risk
12508.0,11,646,13121.98,4,4,4,444,12,Loyal
12509.0,285,6,715.8399999999999,1,1,1,111,3,Churned
12510.0,143,31,4391.04,2,2,2,222,6,At Risk
12512.0,67,34,1156.2,2,2,1,221,5,Churned
12513.0,113,34,4916.2,2,2,3,223,7,At Risk
12514.0,268,51,5134.98,1,3,3,133,7,At Risk
12515.0,155,33,1982.8799999999999,2,2,2,222,6,At Risk
12516.0,78,305,15771.619999999999,2,4,4,244,10,Loyal
12517.0,29,287,15772.09,3,4,4,344,11,Loyal
12518.0,1,119,14202.72,4,3,4,434,11,Loyal
12519.0,64,17,2138.82,2,1,2,212,5,Churned
12520.0,80,150,17015.59,2,4,4,244,10,Loyal
12521.0,143,37,3386.0699999999997,2,2,2,222,6,At Risk
12522.0,40,13,2198.59,3,1,2,312,6,At Risk
12523.0,20,102,10556.31,3,3,3,333,9,Potential
12524.0,10,625,57952.31,4,4,4,444,12,Loyal
12526.0,1,68,6572.17,4,3,3,433,10,Loyal
12527.0,82,17,2598.56,2,1,2,212,5,Churned
12528.0,10,86,8395.34,4,3,3,433,10,Loyal
12530.0,60,62,9013.53,2,3,3,233,8,Potential
12531.0,15,17,278.55,4,1,1,411,6,At Risk
12532.0,31,83,3755.8,3,3,2,332,8,Potential
12534.0,131,62,7616.2,2,3,3,233,8,Potential
12535.0,92,34,2978.58,2,2,2,222,6,At Risk
12536.0,60,262,32970.54,2,4,4,244,10,Loyal
12537.0,10,5,30.950000000000003,4,1,1,411,6,At Risk
12538.0,30,21,2330.8199999999997,3,2,2,322,7,At Risk
12539.0,23,299,29397.31,3,4,4,344,11,Loyal
12540.0,20,461,79521.3,3,4,4,344,11,Loyal
12541.0,30,225,12556.41,3,4,4,344,11,Loyal
12542.0,235,169,6368.8,1,4,3,143,8,Potential
12544.0,37,53,2859.79,3,3,2,332,8,Potential
12545.0,76,48,6152.54,2,2,3,223,7,At Risk
12546.0,10,88,8893.83,4,3,3,433,10,Loyal
12547.0,115,113,14445.15,2,3,4,234,9,Potential
12548.0,167,4,561.0,1,1,1,111,3,Churned
12550.0,47,342,14504.08,3,4,4,344,11,Loyal
12551.0,262,51,1759.01,1,3,1,131,5,Churned
12552.0,40,19,1196.93,3,1,1,311,5,Churned
12553.0,9,601,33396.7,4,4,4,444,12,Loyal
12556.0,36,123,4483.71,3,3,2,332,8,Potential
12557.0,10,92,46887.02,4,3,4,434,11,Loyal
12558.0,8,11,1213.24,4,1,1,411,6,At Risk
12559.0,311,20,3418.7,1,2,2,122,5,Churned
12560.0,6,103,11335.82,4,3,3,433,10,Loyal
12561.0,36,362,14040.59,3,4,4,344,11,Loyal
12562.0,9,160,15925.47,4,4,4,444,12,Loyal
12564.0,262,20,1625.93,1,2,1,121,4,Churned
12565.0,289,9,969.5,1,1,1,111,3,Churned
12566.0,87,18,2990.38,2,1,2,212,5,Churned
12567.0,23,437,49397.22,3,4,4,344,11,Loyal
12569.0,3,157,19139.07,4,4,4,444,12,Loyal
12571.0,40,34,5761.719999999999,3,2,3,323,8,Potential
12572.0,9,58,4389.56,4,3,2,432,9,Potential
12573.0,228,28,1025.38,1,2,1,121,4,Churned
12574.0,316,10,791.58,1,1,1,111,3,Churned
12576.0,36,88,11259.52,3,3,3,333,9,Potential
12577.0,36,146,5479.7699999999995,3,4,3,343,10,Loyal
12578.0,22,112,14273.59,3,3,4,334,10,Loyal
12579.0,79,28,3286.3199999999997,2,2,2,222,6,At Risk
12580.0,247,23,2566.92,1,2,2,122,5,Churned
12581.0,40,14,1824.03,3,1,1,311,5,Churned
12582.0,239,20,3393.8,1,2,2,122,5,Churned
12583.0,3,232,56248.77,4,4,4,444,12,Loyal
12584.0,4,95,5498.41,4,3,3,433,10,Loyal
12585.0,235,85,14855.86,1,3,4,134,8,Potential
12586.0,18,11,1011.4300000000001,4,1,1,411,6,At Risk
12587.0,8,3,309.5,4,1,1,411,6,At Risk
12588.0,40,9,712.1899999999999,3,1,1,311,5,Churned
12589.0,29,33,3684.56,3,2,2,322,7,At Risk
12590.0,212,66,49891.4,1,3,4,134,8,Potential
12591.0,318,25,2661.17,1,2,2,122,5,Churned
12592.0,93,16,2587.2999999999997,2,1,2,212,5,Churned
12593.0,109,20,1885.56,2,2,2,222,6,At Risk
12594.0,38,114,19508.32,3,3,4,334,10,Loyal
12596.0,52,25,5258.67,3,2,3,323,8,Potential
12597.0,20,202,25599.78,3,4,4,344,11,Loyal
12598.0,10,127,22050.66,4,3,4,434,11,Loyal
12599.0,30,55,10627.58,3,3,3,333,9,Potential
12600.0,29,51,8730.210000000001,3,3,3,333,9,Potential
12601.0,190,23,2959.09,1,2,2,122,5,Churned
12602.0,59,12,1817.46,2,1,1,211,4,Churned
12603.0,22,1,1202.32,3,1,1,311,5,Churned
12604.0,80,15,2291.92,2,1,2,212,5,Churned
12607.0,61,101,14205.029999999999,2,3,4,234,9,Potential
12609.0,79,57,7359.41,2,3,3,233,8,Potential
12610.0,5,384,18853.03,4,4,4,444,12,Loyal
12611.0,53,65,9832.66,3,3,3,333,9,Potential
12612.0,75,18,3348.79,2,1,2,212,5,Churned
12613.0,58,149,19136.74,2,4,4,244,10,Loyal
12614.0,278,20,1102.4099999999999,1,2,1,121,4,Churned
12615.0,3,100,14117.8,4,3,4,434,11,Loyal
12616.0,96,30,3527.2,2,2,2,222,6,At Risk
12617.0,30,233,8554.68,3,4,3,343,10,Loyal
12618.0,22,10,1114.39,3,1,1,311,5,Churned
12619.0,17,82,35213.99,4,3,4,434,11,Loyal
12620.0,15,90,10989.5,4,3,3,433,10,Loyal
12621.0,2,453,78791.83,4,4,4,444,12,Loyal
12622.0,233,10,801.12,1,1,1,111,3,Churned
12623.0,277,17,2029.3,1,1,2,112,4,Churned
12624.0,107,108,5678.58,2,3,3,233,8,Potential
12625.0,212,84,18357.38,1,3,4,134,8,Potential
12626.0,24,285,38860.21,3,4,4,344,11,Loyal
12627.0,11,230,27855.8,4,4,4,444,12,Loyal
12628.0,5,38,4386.39,4,2,2,422,8,Potential
12630.0,10,62,5082.9,4,3,3,433,10,Loyal
12631.0,58,30,2870.14,2,2,2,222,6,At Risk
12633.0,59,97,13137.49,2,3,4,234,9,Potential
12635.0,87,100,16535.149999999998,2,3,4,234,9,Potential
12637.0,68,387,34186.79,2,4,4,244,10,Loyal
12638.0,34,38,6397.62,3,2,3,323,8,Potential
12639.0,239,21,2225.42,1,2,2,122,5,Churned
12640.0,24,199,37688.39,3,4,4,344,11,Loyal
12641.0,116,9,877.1,2,1,1,211,4,Churned
12642.0,26,44,6485.5199999999995,3,2,3,323,8,Potential
12643.0,129,18,21446.16,2,1,4,214,7,At Risk
12644.0,130,31,3820.88,2,2,2,222,6,At Risk
12645.0,34,69,12055.24,3,3,4,334,10,Loyal
12646.0,5,120,15251.15,4,3,4,434,11,Loyal
12647.0,23,110,17209.04,3,3,4,334,10,Loyal
12648.0,155,20,1937.06,2,2,2,222,6,At Risk
12649.0,30,63,7796.43,3,3,3,333,9,Potential
12650.0,4,19,1590.7,4,1,1,411,6,At Risk
12651.0,335,8,867.3,1,1,1,111,3,Churned
12652.0,199,55,6254.79,1,3,3,133,7,At Risk
12653.0,149,46,11735.49,2,2,3,223,7,At Risk
12654.0,11,34,2934.11,4,2,2,422,8,Potential
12656.0,18,121,17396.7,4,3,4,434,11,Loyal
12657.0,12,44,8016.62,4,2,3,423,9,Potential
12658.0,19,34,3709.7,4,2,2,422,8,Potential
12659.0,30,4,1141.6000000000001,3,1,1,311,5,Churned
12660.0,12,12,779.94,4,1,1,411,6,At Risk
12662.0,1,220,22606.22,4,4,4,444,12,Loyal
12663.0,214,110,2710.49,1,3,2,132,6,At Risk
12664.0,9,28,14394.66,4,2,4,424,10,Loyal
12665.0,325,2,415.0799999999999,1,1,1,111,3,Churned
12666.0,214,33,968.33,1,2,1,121,4,Churned
12667.0,59,32,4478.9,2,2,2,222,6,At Risk
12668.0,12,157,17865.24,4,4,4,444,12,Loyal
12669.0,151,98,12538.32,2,3,4,234,9,Potential
12670.0,11,312,22266.5,4,4,4,444,12,Loyal
12671.0,80,326,8969.15,2,4,3,243,9,Potential
12672.0,330,10,931.1999999999999,1,1,1,111,3,Churned
12673.0,6,235,7908.16,4,4,3,443,11,Loyal
12674.0,39,79,13431.52,3,3,4,334,10,Loyal
12675.0,214,51,1326.97,1,3,1,131,5,Churned
12676.0,25,39,7924.15,3,2,3,323,8,Potential
12678.0,43,199,120696.22,3,4,4,344,11,Loyal
12679.0,59,44,6561.37,2,2,3,223,7,At Risk
12680.0,1,49,4628.29,4,2,2,422,8,Potential
12681.0,15,616,86451.58,4,4,4,444,12,Loyal
12682.0,4,486,58286.29,4,4,4,444,12,Loyal
12683.0,5,331,55540.22,4,4,4,444,12,Loyal
12684.0,8,98,21663.16,4,3,4,434,11,Loyal
12685.0,29,151,16981.07,3,4,4,344,11,Loyal
12686.0,372,6,1159.4,1,1,1,111,3,Churned
12688.0,114,171,35660.99,2,4,4,244,10,Loyal
12689.0,26,70,6936.96,3,3,3,333,9,Potential
12690.0,60,258,8008.59,2,4,3,243,9,Potential
12691.0,29,27,4927.3,3,2,3,323,8,Potential
12692.0,152,18,295.09000000000003,2,1,1,211,4,Churned
12693.0,128,35,3080.0,2,2,2,222,6,At Risk
12694.0,71,35,5936.29,2,2,3,223,7,At Risk
12695.0,8,429,18421.26,4,4,4,444,12,Loyal
12697.0,29,38,5842.76,3,2,3,323,8,Potential
12700.0,8,264,30043.5,4,4,4,444,12,Loyal
12701.0,80,51,7591.7,2,3,3,233,8,Potential
12702.0,20,150,6977.15,3,4,3,343,10,Loyal
12703.0,72,20,1942.7,2,2,2,222,6,At Risk
12704.0,8,80,10975.87,4,3,3,433,10,Loyal
12705.0,16,328,44897.24,4,4,4,444,12,Loyal
12707.0,292,33,3242.17,1,2,2,122,5,Churned
12708.0,30,147,15745.64,3,4,4,344,11,Loyal
12709.0,5,205,47631.61,4,4,4,444,12,Loyal
12710.0,97,74,9460.46,2,3,3,233,8,Potential
12712.0,29,114,13565.77,3,3,4,334,10,Loyal
12713.0,1,37,3270.25,4,2,2,422,8,Potential
12714.0,10,416,33836.55,4,4,4,444,12,Loyal
12715.0,5,21,2000.45,4,2,2,422,8,Potential
12716.0,4,355,15550.619999999999,4,4,4,444,12,Loyal
12717.0,114,56,6094.87,2,3,3,233,8,Potential
12718.0,72,198,7892.37,2,4,3,243,9,Potential
12719.0,6,37,3193.46,4,2,2,422,8,Potential
12720.0,3,343,48257.020000000004,4,4,4,444,12,Loyal
12721.0,32,155,21697.39,3,4,4,344,11,Loyal
12722.0,86,52,6794.82,2,3,3,233,8,Potential
12723.0,4,68,3772.94,4,3,2,432,9,Potential
12724.0,6,49,4346.389999999999,4,2,2,422,8,Potential
12725.0,372,23,2041.74,1,2,2,122,5,Churned
12726.0,29,117,34574.159999999996,3,3,4,334,10,Loyal
12727.0,11,132,22770.58,4,4,4,444,12,Loyal
12728.0,72,42,4979.25,2,2,3,223,7,At Risk
12729.0,114,25,2794.86,2,2,2,222,6,At Risk
12731.0,24,273,102510.58,3,4,4,344,11,Loyal
12732.0,180,68,3048.2,1,3,2,132,6,At Risk
12733.0,235,35,2199.23,1,2,2,122,5,Churned
12734.0,353,4,1015.2,1,1,1,111,3,Churned
12735.0,316,41,4367.49,1,2,2,122,5,Churned
12736.0,333,3,1869.6,1,1,2,112,4,Churned
12738.0,373,10,1647.17,1,1,1,111,3,Churned
12739.0,100,37,5971.02,2,2,3,223,7,At Risk
12740.0,64,27,3943.22,2,2,2,222,6,At Risk
12742.0,34,3,46.129999999999995,3,1,1,311,5,Churned
12743.0,135,134,3799.02,2,4,2,242,8,Potential
12744.0,57,215,63480.95,2,4,4,244,10,Loyal
12747.0,3,103,15438.2,4,3,4,434,11,Loyal
12748.0,1,4584,271206.94,4,4,4,444,12,Loyal
12749.0,4,198,17525.86,4,4,4,444,12,Loyal
12750.0,129,15,1686.92,2,1,1,211,4,Churned
12752.0,82,53,26757.76,2,3,4,234,9,Potential
12753.0,23,197,136322.73,3,4,4,344,11,Loyal
12754.0,236,63,69523.14,1,3,4,134,8,Potential
12755.0,281,4,19184.420000000002,1,1,4,114,6,At Risk
12756.0,87,4,1590.72,2,1,1,211,4,Churned
12757.0,16,746,32617.48,4,4,4,444,12,Loyal
12758.0,117,97,20139.94,2,3,4,234,9,Potential
12759.0,53,92,10370.7,3,3,3,333,9,Potential
12760.0,102,185,4648.16,2,4,2,242,8,Potential
12761.0,59,11,210.39,2,1,1,211,4,Churned
12762.0,8,70,9736.92,4,3,3,433,10,Loyal
12763.0,139,34,4198.93,2,2,2,222,6,At Risk
12764.0,317,45,5692.32,1,2,3,123,6,At Risk
12766.0,4,306,40429.88,4,4,4,444,12,Loyal
12769.0,239,31,4652.2699999999995,1,2,2,122,5,Churned
12770.0,211,12,8404.06,1,1,3,113,5,Churned
12772.0,60,54,6358.97,2,3,3,233,8,Potential
12775.0,18,61,10229.43,4,3,3,433,10,Loyal
12777.0,19,335,12933.12,4,4,4,444,12,Loyal
12778.0,20,44,9084.33,3,2,3,323,8,Potential
12779.0,10,207,34260.57,4,4,4,444,12,Loyal
12781.0,64,24,7674.44,2,2,3,223,7,At Risk
12782.0,5,98,12179.67,4,3,4,434,11,Loyal
12783.0,3,78,6599.9800000000005,4,3,3,433,10,Loyal
12784.0,16,58,2033.17,4,3,2,432,9,Potential
12785.0,365,13,1221.82,1,1,1,111,3,Churned
12787.0,10,17,2723.08,4,1,2,412,7,At Risk
12788.0,15,2,24.76,4,1,1,411,6,At Risk
12789.0,66,3,109.52000000000001,2,1,1,211,4,Churned
